NO,Frag,Conect,MolWt
394,[16*]c1c[nH]nc1C,1,81.045
395,[16*]c1cnn(C)c1,1,81.045
396,[4*]Cc1c[nH]cn1,1,81.045
397,[5*]NC1(C#N)CC1,1,81.045
398,[7*]Cc1c[nH]cn1,1,81.045
399,[7*]Cc1cc[nH]n1,1,81.045
400,[7*]Cc1cnc[nH]1,1,81.045
401,[8*]Cn1cccn1,1,81.045
402,[8*]Cn1ccnc1,1,81.045
403,[9*]n1ccc(C)n1,1,81.045
404,[9*]n1ccnc1C,1,81.045
405,[9*]n1cnc(C)c1,1,81.045
406,[15*]C1CC=CCC1,1,81.07
407,[15*][C@@H]1C=CCCC1,1,81.07
408,[8*]C(C)C#CCC,1,81.07
409,[14*]c1cc(C)no1,1,82.029
410,[14*]c1cc(C)on1,1,82.029
411,[14*]c1coc(C)n1,1,82.029
412,[16*]c1cnoc1C,1,82.029
413,[5*]NC(=O)C#CC,1,82.029
414,[14*]c1ncn(C)n1,1,82.041
415,[4*]Cc1cnn[nH]1,1,82.041
416,[5*]Nc1ncc[nH]1,1,82.041
417,[8*]Cn1cncn1,1,82.041
418,[9*]n1cnc(C)n1,1,82.041
419,[15*]C12CNCC1C2,1,82.066
420,[15*][C@]12CNC[C@H]1C2,1,82.066
421,[4*][C@H](CC)CC#N,1,82.066
422,[8*]CN(C)CC#C,1,82.066
423,[8*]C(Cl)Cl,1,82.946
424,[14*]c1cccs1,1,82.996
425,[16*]c1ccsc1,1,82.996
426,[4*]CC(F)(F)F,1,83.011
427,[8*]CC(F)(F)F,1,83.011
428,[14*]c1nc(C)no1,1,83.025
429,[14*]c1nnc(C)o1,1,83.025
430,[14*]c1noc(C)n1,1,83.025
431,[5*]Nc1ccon1,1,83.025
432,[6*]C(=O)NCC#N,1,83.025
433,[14*]c1nnn(C)n1,1,83.036
434,[1*]C(=O)/C(C)=C/C,1,83.05
435,[1*]C(=O)/C(C)=C\C,1,83.05
436,[15*]C1CCCC1=O,1,83.05
437,[6*]C(=O)C(=C)CC,1,83.05
438,[4*]CC1=NCCN1,1,83.061
439,[8*]CC1=NCCN1,1,83.061
440,[15*]C1CCCCC1,1,83.086
441,[7*]C1CCCCC1,1,83.086
442,[7*]CC/C=C\CC,1,83.086
443,[8*]CC1CCCC1,1,83.086
444,[14*]c1cncs1,1,83.991
445,[14*]c1cscn1,1,83.991
446,[14*]c1nccs1,1,83.991
447,[14*]c1cc(O)no1,1,84.009
448,[14*]c1n[nH]c(=O)[nH]1,1,84.02
449,[14*]c1nnc(N)o1,1,84.02
450,[14*]c1nonc1N,1,84.02
451,[1*]C(=O)NC1CC1,1,84.045
452,[10*]N1CCCC1=O,1,84.045
453,[13*][C@@H]1CCC(=O)N1,1,84.045
454,[13*][C@H]1CCC(=O)N1,1,84.045
455,[15*]C1CNC(=O)C1,1,84.045
456,[15*][C@@H]1CCNC1=O,1,84.045
457,[15*][C@@H]1CNC(=O)C1,1,84.045
458,[5*]NC(=O)C1CC1,1,84.045
459,[6*]C(=O)N1CCC1,1,84.045
460,[6*]C(=O)NC1CC1,1,84.045
461,[7*]C(O)CCC#N,1,84.045
462,[5*]NC1=NCCN1,1,84.056
463,[13*]C1CCCCN1,1,84.081
464,[13*]C1CCCN1C,1,84.081
465,[13*][C@@H]1CCCCN1,1,84.081
466,[13*][C@@H]1CCCN1C,1,84.081
467,[13*][C@@]1(C)CCCN1,1,84.081
468,[13*][C@H]1CCCCN1,1,84.081
469,[13*][C@H]1CCCN1C,1,84.081
470,[15*]C1CCN(C)C1,1,84.081
471,[15*]C1CCNCC1,1,84.081
472,[15*][C@@H]1CCCNC1,1,84.081
473,[15*][C@H]1CCCNC1,1,84.081
474,[4*]C[C@@H]1CCCN1,1,84.081
475,[5*]N1CC(C)(C)C1,1,84.081
476,[5*]N1CCCCC1,1,84.081
477,[5*]N1CCC[C@H]1C,1,84.081
478,[5*]NC1CCCC1,1,84.081
479,[7*]C1CCNCC1,1,84.081
480,[7*]C[C@H]1CCNC1,1,84.081
481,[8*]CN1CCCC1,1,84.081
482,[14*]c1nncs1,1,84.986
483,[3*]OC(F)(F)F,1,84.99
484,[14*]c1noc(=O)[nH]1,1,85.004
485,[14*]c1noc(O)n1,1,85.004
486,[9*]n1cc(F)cn1,1,85.02
487,[15*]C1(C(=O)O)CC1,1,85.029
488,[3*]OC(=O)C1CC1,1,85.029
489,[3*]OCC#CCO,1,85.029
490,[10*]N1CCNC1=O,1,85.04
491,[5*]NC1=NCCO1,1,85.04
492,[1*]C(=O)C(C)(C)C,1,85.065
493,[1*]C(=O)CC(C)C,1,85.065
494,[1*]C(=O)CCCC,1,85.065
495,[1*]C(=O)[C@@H](C)CC,1,85.065
496,[1*]C(=O)[C@H](C)CC,1,85.065
497,[13*]C1(C)CCCO1,1,85.065
498,[15*]C1(O)CCCC1,1,85.065
499,[15*]C1CCOCC1,1,85.065
500,[15*][C@H]1CCCOC1,1,85.065
501,[15*][C@H]1C[C@@](C)(O)C1,1,85.065
502,[3*]OC1CCCC1,1,85.065
503,[3*]OCC=C(C)C,1,85.065
504,[4*]CC1(C)COC1,1,85.065
505,[4*]CC1CCCO1,1,85.065
506,[6*]C(=O)C(C)(C)C,1,85.065
507,[7*]CCCC(C)=O,1,85.065
508,[4*]CCNC(C)=N,1,85.077
509,[5*]N1CCNCC1,1,85.077
510,[5*]N1CC[C@H](N)C1,1,85.077
511,[5*][N+]1(C)CCCC1,1,85.089
512,[4*]C(C)C(C)(C)C,1,85.102
513,[4*]CCCCCC,1,85.102
514,[7*]CCCCCC,1,85.102
515,[8*]CC(CC)CC,1,85.102
516,[8*]CCCCCC,1,85.102
517,[13*]C1CNC(=O)O1,1,86.024
518,[13*][C@H]1COC(=O)N1,1,86.024
519,[6*]C(=O)NC(=N)N,1,86.035
520,[1*]C(=O)C(C)(C)N,1,86.061
521,[1*]C(=O)CCCN,1,86.061
522,[1*]C(=O)CN(C)C,1,86.061
