NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
111,CCc1cc(C)nc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)c1,CCc1cc(C)nc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)c1,39,7.409,0,train3,0,train1,1,train5
112,CN(C(=O)[C@@H]1COC(=O)N1c1cc(OC(F)F)cc(Cl)n1)c1ccc(F)c(Cl)c1,CN(C(=O)C1COC(=O)N1c1cc(OC(F)F)cc(Cl)n1)c1ccc(F)c(Cl)c1,94,7.027,0,train1,0,train5,1,test
113,Cc1cc(OC(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(OC(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,167,6.777,0,train4,0,train2,0,train5
114,CN(C(=O)[C@@H]1COC(=O)N1c1cc(C(C)(C)C)cc(Cl)n1)c1ccc(F)c(Cl)c1,CN(C(=O)C1COC(=O)N1c1cc(C(C)(C)C)cc(Cl)n1)c1ccc(F)c(Cl)c1,41,7.387,0,test,0,test,1,train1
115,Cc1cc(C(C)(C)C)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(C)(C)C)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,36,7.444,0,train3,0,train4,1,train5
116,Cc1cc(C(C)C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(C)C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,304,6.517,0,test,0,train5,0,train1
117,CCN(C(=O)[C@@H]1COC(=O)N1c1cc(C(C)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1COC(=O)N1c1cc(C(C)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,261,6.583,0,test,0,train3,0,test
118,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc3cc[nH]c3c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc3cc[nH]c3c2)n1,11,7.959,0,train3,1,train3,1,train4
119,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc3cc[nH]c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc3cc[nH]c3n2)n1,15,7.824,0,train1,1,train3,1,train3
120,CCN(C(=O)[C@@H]1C[C@H](N2CCOC(CO)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N2CCOC(CO)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,42,7.377,0,train2,0,test,1,train1
121,CCN(C(=O)[C@@H]1C[C@H](N2CCC(O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N2CCC(O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,78,7.108,0,test,0,train1,1,train3
122,CCN(C(=O)[C@@H]1C[C@H](N2CC(O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N2CC(O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,100,7,0,train5,0,train3,0,test
123,CCN(C(=O)[C@@H]1C[C@H](N[C@@H]2CCOC[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(NC2CCOCC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,248,6.606,0,test,0,test,0,train3
124,CCN(C(=O)[C@@H]1C[C@H](N[C@@H]2COCC[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(NC2COCCC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,156,6.807,0,train4,0,train3,0,train5
125,CCN(C(=O)[C@@H]1C[C@H](N[C@@H]2CCC[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(NC2CCCC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,122,6.914,0,train5,0,test,0,train3
126,CCN(C(=O)[C@@H]1C[C@H](N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(NC2CN(C(=O)OC(C)(C)C)CC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,45,7.347,0,train2,0,test,1,test
127,CCN(C(=O)[C@@H]1C[C@H](NC2CNC(=O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(NC2CNC(=O)C2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,300,6.523,0,test,0,train2,0,test
128,CCN(C(=O)[C@@H]1C[C@H](NC2COC2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(NC2COC2)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,165,6.783,0,train4,0,train2,0,train2
129,CCN(C(=O)[C@@H]1C[C@H](N(C)[C@@H]2CCOC[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N(C)C2CCOCC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,164,6.785,0,train4,0,train2,0,train4
130,CCN(C(=O)[C@@H]1C[C@H](N(C)[C@@H]2COCC[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N(C)C2COCCC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,60,7.222,0,train2,0,train1,1,train4
131,CCN(C(=O)[C@@H]1C[C@H](N(C)[C@@H]2CCC[C@H]2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,CCN(C(=O)C1CC(N(C)C2CCCC2O)CN1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(F)c1,56,7.252,0,train4,0,train5,1,train1
