NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
41,CCN(C(=O)[C@@H]1C[C@H](NCCS(C)(=O)=O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(NCCS(C)(=O)=O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,85,7.071,0,train2,0,train1,1,train5
42,CCN(C(=O)[C@@H]1C[C@H](N(C)CCS(C)(=O)=O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N(C)CCS(C)(=O)=O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,227,6.644,0,train2,0,train5,0,train3
43,CCN(C(=O)[C@@H]1C[C@H](NC2CCNC2=O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(NC2CCNC2=O)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,329,6.483,0,test,0,train2,0,train2
44,CCN(C(=O)[C@@H]1C[C@H](N(C)C2CCNC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N(C)C2CCNC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,573,6.242,0,train1,0,train3,0,test
45,CCN(C(=O)[C@@H]1C[C@H](NCCN)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(NCCN)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,573,6.242,0,train1,0,train4,0,train2
46,CCN(C(=O)[C@@H]1C[C@H](N2CCNCC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N2CCNCC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,232,6.635,0,train4,0,train2,0,test
47,CCN(C(=O)[C@@H]1C[C@H](NC2CNC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(NC2CNC2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,1560,5.807,0,train2,0,train1,0,train5
48,CCN(C(=O)[C@@H]1C[C@H](N(C)C2CCN(C(C)=O)C2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,CCN(C(=O)C1CC(N(C)C2CCN(C(C)=O)C2)CN1c1nc(C)cc(C)c1C#N)c1cccc(C)c1,588,6.231,0,train1,0,train1,0,train4
49,Cc1cccc(N(C)C(=O)[C@@H]2[C@@H](O)[C@@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(N(C)C(=O)C2C(O)C(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,13,7.886,0,train4,1,train3,1,train1
50,Cc1cccc(N(C)C(=O)[C@@H]2[C@H](O)[C@H](O)CN2c2nc(C)cc(C)c2C#N)c1,Cc1cccc(N(C)C(=O)C2C(O)C(O)CN2c2nc(C)cc(C)c2C#N)c1,118,6.928,0,train5,0,train2,0,train3
51,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(F)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)C(O)C2C(=O)N(C)c2ccc(F)c(F)c2)n1,42,7.377,0,train1,0,train5,1,test
52,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)C(O)C2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,10,8,0,train3,1,train4,1,test
53,Cc1cccc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1,Cc1cccc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1,7,8.155,1,train4,1,train1,1,train3
54,Cc1cccc(N(C)C(=O)[C@@H]2CCC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1,Cc1cccc(N(C)C(=O)C2CCC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1,6.9,8.161,1,train4,1,train1,1,train1
55,Cc1cc(C(F)(F)F)cc(N2C(=O)CC[C@H]2C(=O)N(C)c2ccc(F)c(C)n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)CCC2C(=O)N(C)c2ccc(F)c(C)n2)n1,76,7.119,0,train1,0,test,1,train1
56,CCN(C(=O)[C@@H]1C[C@H](N)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(N)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,136,6.866,0,train2,0,train1,0,test
57,CCN(C(=O)[C@@H]1C[C@H](NC(C)=O)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(NC(C)=O)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,208,6.682,0,train5,0,train3,0,train2
58,CCN(C(=O)[C@@H]1C[C@H](N2CCOCC2)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(N2CCOCC2)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,410,6.387,0,train5,0,test,0,train1
59,CCN(C(=O)[C@@H]1C[C@H](O)CN1c1nc(C)cc(C(F)(F)F)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(O)CN1c1nc(C)cc(C(F)(F)F)n1)c1ccc(F)c(Cl)c1,166,6.78,0,train4,0,train5,0,train3
60,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,7.8,8.108,1,train5,1,train4,1,train1
61,CCN(C(=O)[C@@H]1[C@H](O)[C@H](O)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1C(O)C(O)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,20,7.699,0,train3,1,test,1,test
62,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(C)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc(F)c(C)c2)n1,6,8.222,1,train2,1,train1,1,train1
63,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2cc(F)cc(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2cc(F)cc(Cl)c2)n1,31,7.509,0,train3,1,train2,1,train5
64,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@H]3OC(C)(C)O[C@H]3[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C3OC(C)(C)OC3C2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,69,7.161,0,train5,0,train4,1,test
65,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,3,8.523,1,train5,1,test,1,test
66,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)[C@@H](O)[C@H]2C(=O)N(C)c2cc(Cl)c(F)cc2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)C(O)C2C(=O)N(C)c2cc(Cl)c(F)cc2F)n1,7,8.155,1,train3,1,train2,1,train3
67,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](O)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(O)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,25,7.602,0,train2,1,test,1,train2
68,CCN(C(=O)[C@@H]1C[C@H](O)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1CC(O)C(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,95,7.022,0,train1,0,test,1,train5
69,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](COCc3ccccc3)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(COCc3ccccc3)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,24,7.62,0,train4,1,train2,1,train5
70,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](CO)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(CO)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,11,7.959,0,train2,1,train3,1,test
71,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@@H](CN(C)C)C[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(CN(C)C)CC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,48,7.319,0,train5,0,train1,1,train5
72,Cc1cc(C(F)(F)F)cc(N2C(=O)C[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)CC(O)C2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,5.95,8.225,1,train3,1,train3,1,train3
73,Cc1cc(C(F)(F)F)c(C#N)c(N2CC[C@@H](O)[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC(O)C2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,8,8.097,1,train4,1,train4,1,train2
74,CCN(C(=O)[C@@H]1[C@H](O)CCN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(Cl)c1,CCN(C(=O)C1C(O)CCN1c1nc(C)cc(C(F)(F)F)c1C#N)c1ccc(F)c(Cl)c1,8,8.097,1,train2,1,train5,1,train3
75,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,15.5,7.81,0,train2,1,test,1,test
76,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(Cl)c(C)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(Cl)c(C)c2)n1,6,8.222,1,test,1,test,1,train1
77,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2F)n1,5.2,8.284,1,train2,1,train5,1,train3
78,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(C)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(C)c2)n1,9.2,8.036,1,test,1,train4,1,train2
79,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2cccc(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2cccc(Cl)c2)n1,15,7.824,0,train4,1,test,1,train2
80,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(C)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(C)c(Cl)c2)n1,6,8.222,1,train1,1,train1,1,train3
81,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(Cl)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(Cl)c(Cl)c2)n1,16,7.796,0,train5,1,train4,1,train5
82,COc1cc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1F,COc1cc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1F,226,6.646,0,test,0,train3,0,train4
83,COc1cc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1Cl,COc1cc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1Cl,81,7.092,0,test,0,train1,1,train1
84,COc1cc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1C,COc1cc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1C,18,7.745,0,train2,1,train3,1,train5
85,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Br)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Br)c2)n1,16,7.796,0,train4,1,test,1,test
86,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(Br)cc2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(Br)cc2F)n1,12,7.921,0,train4,1,train5,1,train4
87,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2cccc(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2cccc(Cl)c2F)n1,15,7.824,0,train2,1,train4,1,train3
88,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2cc(Cl)ccc2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2cc(Cl)ccc2F)n1,24,7.62,0,train2,1,test,1,train5
89,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(Cl)cc2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(Cl)cc2F)n1,11,7.959,0,train5,1,train1,1,train2
90,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2cc(Cl)c(F)cc2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2cc(Cl)c(F)cc2F)n1,32,7.495,0,train5,0,train2,1,test
91,COc1cc(F)c(Cl)cc1N(C)C(=O)[C@@H]1COC(=O)N1c1cc(C(F)(F)F)cc(C)n1,COc1cc(F)c(Cl)cc1N(C)C(=O)C1COC(=O)N1c1cc(C(F)(F)F)cc(C)n1,437,6.36,0,train4,0,train3,0,train4
92,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(C)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(C)c2F)n1,4.05,8.393,1,train4,1,train3,1,train3
93,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(F)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(F)c2F)n1,23,7.638,0,train3,1,train5,1,test
94,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc3c(c2)COC3)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc3c(c2)COC3)n1,86,7.066,0,train5,0,train4,1,train1
95,CCN(C(=O)[C@@H]1COC(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,CCN(C(=O)C1COC(=O)N1c1cc(C(F)(F)F)cc(C)n1)c1ccc(F)c(Cl)c1,54,7.268,0,train4,0,train2,1,test
96,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(c2ccc(F)c(Cl)c2)C(C)C)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(c2ccc(F)c(Cl)c2)C(C)C)n1,35,7.456,0,train3,0,test,1,train4
97,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(C)c(O)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(C)c(O)c2)n1,19,7.721,0,train4,1,train5,1,train3
98,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(O)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(O)c2)n1,324,6.489,0,train5,0,train3,0,train1
99,C=Cc1c(F)ccc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1F,C=Cc1c(F)ccc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1F,18,7.745,0,train3,1,test,1,train3
100,CCc1c(F)ccc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1F,CCc1c(F)ccc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c1F,12,7.921,0,train3,1,train4,1,train1
101,C=Cc1cc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1F,C=Cc1cc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1F,49,7.31,0,train5,0,train5,1,train2
102,CCc1cc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1F,CCc1cc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)ccc1F,21,7.678,0,train4,1,train4,1,train3
103,C=Cc1ccc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c(F)c1,C=Cc1ccc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c(F)c1,18,7.745,0,train2,1,train1,1,train1
104,CCc1ccc(N(C)C(=O)[C@@H]2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c(F)c1,CCc1ccc(N(C)C(=O)C2COC(=O)N2c2cc(C(F)(F)F)cc(C)n2)c(F)c1,11,7.959,0,train5,1,train3,1,test
105,CN(C(=O)[C@@H]1COC(=O)N1c1cc(C(F)(F)F)cc(Cl)n1)c1ccc(F)c(Cl)c1,CN(C(=O)C1COC(=O)N1c1cc(C(F)(F)F)cc(Cl)n1)c1ccc(F)c(Cl)c1,21,7.678,0,train4,1,train1,1,train1
106,C=Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,C=Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,46,7.337,0,test,0,train1,1,train3
107,CCc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,CCc1cc(C(F)(F)F)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,54,7.268,0,train2,0,test,1,train5
108,Cc1cc(Br)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(Br)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,71,7.149,0,test,0,train2,1,train2
109,C=C(C)c1cc(C)nc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)c1,C=C(C)c1cc(C)nc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)c1,61,7.215,0,test,0,train3,1,train2
110,Cc1cc(C(C)C)cc(N2C(=O)OC[C@H]2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,Cc1cc(C(C)C)cc(N2C(=O)OCC2C(=O)N(C)c2ccc(F)c(Cl)c2)n1,25,7.602,0,train2,1,train1,1,train1
